(-0.785083,-3.02078)
(-0.788824,-2.68723)
(-0.796516,-2.49555)
(-0.805041,-2.35405)
(-0.810989,-2.23406)
(-0.811756,-2.1254)
(-0.80573,-2.02576)
(-0.792633,-1.93652)
(-0.774132,-1.86045)
(-0.753984,-1.79983)
(-0.736936,-1.75503)
(-0.726716,-1.72423)
(-0.724769,-1.70391)
(-0.731123,-1.69002)
(-0.744952,-1.6812)
(-0.760321,-1.67741)
(-0.771187,-1.67301)
(-0.777252,-1.66275)
(-0.779595,-1.64488)
(-0.779021,-1.61928)
(-0.776292,-1.58671)
(-0.772339,-1.54875)
(-0.768013,-1.50804)
(-0.763154,-1.46758)
(-0.757449,-1.4287)
(-0.752594,-1.39238)
(-0.75018,-1.36088)
(-0.75009,-1.336)
(-0.751088,-1.31795)
(-0.751613,-1.3053)
(-0.75059,-1.29539)
(-0.748297,-1.28546)
(-0.745721,-1.27434)
(-0.742917,-1.26187)
(-0.739708,-1.2476)
(-0.736542,-1.23125)
(-0.734296,-1.21323)
(-0.733789,-1.19478)
(-0.735075,-1.17769)
(-0.737158,-1.16313)
(-0.73908,-1.15109)
(-0.740458,-1.14121)
(-0.740961,-1.13311)
(-0.740117,-1.12621)
(-0.737545,-1.11948)
(-0.733427,-1.11166)
(-0.728695,-1.10195)
(-0.724296,-1.09048)
(-0.720696,-1.07773)
(-0.718202,-1.06416)
(-0.717148,-1.05037)
(-0.717734,-1.03722)
(-0.719658,-1.02572)
(-0.721994,-1.01644)
(-0.723786,-1.00915)
(-0.72452,-1.00321)
(-0.723968,-0.998007)
(-0.722001,-0.992895)
(-0.718682,-0.987123)
(-0.714505,-0.979994)
(-0.710302,-0.9713)
(-0.706765,-0.961374)
(-0.704272,-0.950743)
(-0.703012,-0.939952)
(-0.703053,-0.929597)
(-0.704213,-0.920344)
(-0.705899,-0.912701)
(-0.707306,-0.906661)
(-0.70786,-0.901767)
(-0.707317,-0.897451)
(-0.705617,-0.89318)
(-0.702846,-0.888418)
(-0.699347,-0.882665)
(-0.695733,-0.8757)
(-0.692607,-0.86771)
(-0.690344,-0.859127)
(-0.689102,-0.850422)
(-0.688892,-0.842069)
(-0.689546,-0.834547)
(-0.690623,-0.828228)
(-0.691512,-0.823138)
(-0.691728,-0.818949)
(-0.691049,-0.815202)
(-0.689436,-0.811459)
(-0.686987,-0.807305)
(-0.683985,-0.802375)
(-0.680902,-0.796505)
(-0.678218,-0.789834)
(-0.676248,-0.782705)
(-0.675111,-0.775511)
(-0.67479,-0.768631)
(-0.675123,-0.762429)
(-0.675749,-0.757167)
(-0.676193,-0.752848)
(-0.67608,-0.74921)
(-0.675234,-0.745888)
(-0.673637,-0.742524)
(-0.671392,-0.738792)
(-0.66875,-0.734422)
(-0.666091,-0.729312)
